Taxa	eDNA_16S	verts_count	log_eDNA_16S	log_verts_count
Lophius_americanus	12809	0.951086957	4.10754913	0.290276626
Myoxocephalus_octodecemspinosus	19091	0.951086957	4.280851426	0.290276626
Urophycis_tenuis	2278	0.983146067	3.357744325	0.297354703
Lophius_americanus	6079	0.983146067	3.783903579	0.297354703
Lophius_americanus	17952	0.983146067	4.254137031	0.297354703
Hippoglossus_hippoglossus	8143	1.005747126	3.910837765	0.302276179
Enchelyopus_cimbrius	22531	1.011560694	4.352799743	0.303533141
Enchelyopus_cimbrius	14422	1.023391813	4.159055604	0.306079988
Tautogolabrus_adspersus	5796	1.029411765	3.7632033	0.307370174
Melanogrammus_aeglefinus	142139	1.029411765	5.152716311	0.307370174
Leucoraja_erinacea	7320	1.09375	3.864570407	0.320924824
Hippoglossus_hippoglossus	9173	1.09375	3.962558736	0.320924824
Myoxocephalus_octodecemspinosus	1	1.25	0.301029996	0.352182518
Alosa_pseudoharengus	82	1.25	1.919078092	0.352182518
Glyptocephalus_cynoglossus	3065	1.43442623	3.486572151	0.386396619
Merluccius_albidus	453549	1.944444444	5.656625171	0.469003364
Clupea_harengus	1149	1.988636364	3.06069784	0.475473076
Squalus_acanthias	3943	1.988636364	3.595936906	0.475473076
Phycis_chesteri	2634	2.011494253	3.42078062	0.478782039
Merluccius_bilinearis	12982	2.046783626	4.113375057	0.483841613
Urophycis_chuss	15826	2.1875	4.199398602	0.503450193
Urophycis_chuss	14	2.982954545	1.176091259	0.60020535
Urophycis_tenuis	87	2.982954545	1.944482672	0.60020535
Sebastes	26605	2.982954545	4.424979587	0.60020535
Merluccius_bilinearis	34	3.017241379	1.544068044	0.603927927
Glyptocephalus_cynoglossus	959	3.017241379	2.982271233	0.603927927
Leucoraja_erinacea	1028	3.017241379	3.012415375	0.603927927
Lumpenus_lampretaeformis	14952	3.034682081	4.174728333	0.60580932
Enchelyopus_cimbrius	11111	3.052325581	4.045792233	0.607704331
Scomber_scombrus	16784	3.088235294	4.224921346	0.611535883
Glyptocephalus_cynoglossus	2326	3.5	3.366796383	0.653212514
Hippoglossus_hippoglossus	6634	3.5	3.821840927	0.653212514
Zoarces_americanus	44888	3.804347826	4.652139931	0.681634442
Merluccius_bilinearis	11725	3.825136612	4.06914989	0.683509614
Urophycis_chuss	8874	4	3.948168362	0.698970004
Merluccius_bilinearis	10002	5	4.000130269	0.77815125
Urophycis_chuss	62279	5.028735632	4.794348604	0.78022624
Merluccius_bilinearis	480829	5.46875	5.681991556	0.810820367
Leptoclinus_maculatus	12366	5.965909091	4.092264361	0.842977802
Squalus_acanthias	3752	6	3.574378564	0.84509804
Merluccius_bilinearis	23850	6.657608696	4.377506592	0.88409317
Urophycis_chuss	7156	6.805555556	3.854731017	0.892403819
Glyptocephalus_cynoglossus	11061	7.16374269	4.043833654	0.911889308
Glyptocephalus_cynoglossus	5056	8	3.703892954	0.954242509
Lumpenus_lampretaeformis	35255	8.948863636	4.547233038	0.997773478
Squalus_acanthias	251	10.11560694	2.401400541	1.045933181
Urophycis_tenuis	52315	10.29411765	4.718634531	1.052852307
Lumpenus_lampretaeformis	7454	10.9375	3.872447648	1.076913385
Centroscyllium_fabricii	790	11.06321839	2.898176483	1.08146319
Urophycis_chuss	5	11.19186047	0.77815125	1.086069984
Merluccius_bilinearis	5931	11.32352941	3.773201142	1.090735106
Sebastes	6616	12	3.820661135	1.113943352
Scomber_scombrus	49373	12.28070175	4.693498313	1.123221024
Myoxocephalus_octodecemspinosus	2859	12.72727273	3.456366033	1.137584262
Leucoraja_erinacea	14603	12.78089888	4.164471824	1.139277546
Clupea_harengus	4436	12.92613636	3.647089429	1.143830643
Merluccius_bilinearis	3	13.27586207	0.602059991	1.154602343
Merluccius_bilinearis	2369	13.78787879	3.374748346	1.169905882
Myoxocephalus_octodecemspinosus	6989	15.3125	3.844477176	1.212520525
Squalus_acanthias	445	15.55555556	2.649334859	1.218943759
Urophycis_chuss	9803	17	3.991403303	1.255272505
Merluccius_bilinearis	9485	18.47222222	3.97708312	1.289415517
Sebastes	43277	18.52941176	4.636267183	1.290689162
Sebastes	10864	19.66292135	4.036029731	1.315191723
Squalus_acanthias	5507	20.64606742	3.740993932	1.335379007
Merluccius_bilinearis	1752	21.62921348	3.243781916	1.35466946
Pollachius_virens	6753	22	3.829561056	1.361727836
Citharichthys_arctifrons	31793	22.96875	4.50234517	1.379645386
Clupea_harengus	608	25.85227273	2.784617293	1.42898105
Merluccius_bilinearis	53147	26.14942529	4.725486926	1.433760641
Merluccius_bilinearis	134850	27.22222222	5.129854171	1.450591207
Leucoraja_erinacea	18478	28	4.266678465	1.462397998
Merluccius_bilinearis	19016	30.13888889	4.279142006	1.493303112
Pollachius_virens	3059	31.17816092	3.485721426	1.507561219
Clupea_harengus	7	32.18390805	0.903089987	1.520927531
Merluccius_bilinearis	8312	32.55813953	3.919757781	1.525797875
Sebastes	6300	33.18965517	3.79940948	1.533894721
Amblyraja_radiata	2670	34.41011236	3.426673888	1.549127305
Helicolenus_dactylopterus	9543	35.40462428	3.979730431	1.561156553
Melanogrammus_aeglefinus	2371	36.94444444	3.375114685	1.579148199
Clupea_harengus	4820	38.88888889	3.683137131	1.600851939
Clupea_harengus	94	40	1.977723605	1.612783857
Squalus_acanthias	534	45.25862069	2.728353782	1.665192679
Myoxocephalus_octodecemspinosus	8754	46	3.94225615	1.672097858
Glyptocephalus_cynoglossus	11413	49.80769231	4.057437868	1.70592947
Glyptocephalus_cynoglossus	11152	55	4.047391702	1.748188027
Merluccius_bilinearis	7147	56	3.854184544	1.755874856
Clupea_harengus	237	57.16666667	2.376576957	1.764674177
Merluccius_bilinearis	16939	80	4.228913406	1.908485019
Merluccius_bilinearis	118601	90	5.074092013	1.959041392
Melanogrammus_aeglefinus	3797	100.1724138	3.57955496	2.005062112
Sebastes	607965	103.4090909	5.783879292	2.018738314
Merluccius_bilinearis	992	115.6944444	2.996949248	2.067050181
Melanogrammus_aeglefinus	13119	120.3125	4.117933835	2.083905553
Sebastes	25737	126.5384615	4.410574797	2.105641174
Clupea_harengus	4342	133	3.637789829	2.127104798
Squalus_acanthias	36734	147.6878613	4.565080044	2.172275515
Myoxocephalus_octodecemspinosus	5541	149.4382022	3.743666521	2.177358135
Melanogrammus_aeglefinus	3965	179.0229885	3.59835271	2.255327967
Merluccius_bilinearis	4953	184.1040462	3.694956002	2.267415912
Merluccius_bilinearis	5203	216	3.716337288	2.336459734
Melanogrammus_aeglefinus	4078	219.84375	3.610553705	2.344085113
Merluccius_bilinearis	25	221.7329545	1.414973348	2.347784478
Sebastes	24573	228.2163743	4.390475854	2.360245639
Squalus_acanthias	11098	233.988764	4.045283851	2.371047097
Merluccius_bilinearis	159228	237.7941176	5.202022168	2.378023624
Clupea_harengus	8886	261.4942529	3.94875518	2.419119799
Clupea_harengus	94	287.65625	1.977723605	2.460380965
Melanogrammus_aeglefinus	3249	353	3.511883361	2.549003262
Glyptocephalus_cynoglossus	20313	375.1436782	4.307795448	2.575353767
Merluccius_bilinearis	7878	431.9364162	3.8964711	2.636424118
Merluccius_bilinearis	2601	519.1666667	3.415307292	2.716142518
Helicolenus_dactylopterus	7976	535.6944444	3.901839592	2.7297271
Melanogrammus_aeglefinus	7311	576.1235955	3.864036183	2.761268831
Melanogrammus_aeglefinus	118710	1385.733696	5.074490963	3.141993069
Melanogrammus_aeglefinus	2753	1405.898876	3.439963936	3.148262883
Sebastes	4578	2558.62069	3.660770644	3.408175612
Sebastes	35437	4030.028736	4.549469204	3.605415894
