Taxa,EDNA20_474001,EDNA20_474001_2,EDNA20_474005,EDNA20_474005_2,EDNA20_474014,EDNA20_474014_2,EDNA20_474043,EDNA20_474043_2,EDNA20_474079,EDNA20_474079_2,EDNA20_474086,EDNA20_474086_2,EDNA20_474091,EDNA20_474091_2,EDNA20_474099,EDNA20_474099_2,EDNA20_474103,EDNA20_474103_2,EDNA20_474107,EDNA20_474107_2,EDNA20_474143,EDNA20_474143_2,EDNA20_474148,EDNA20_474148_2,EDNA20_474160,EDNA20_474160_2,EDNA20_474175,EDNA20_474175_2,EDNA20_474179,EDNA20_474179_2,EDNA20_474198,EDNA20_474198_2,EDNA20_474207,EDNA20_474207_2,EDNA20_474217,EDNA20_474217_2,EDNA20_474237,EDNA20_474237_2,EDNA20_478618,EDNA20_478618_2,EDNA20_478631,EDNA20_478631_2,EDNA20_478635,EDNA20_478635_2,EDNA20_478639,EDNA20_478639_2,EDNA20_478655,EDNA20_478655_2,EDNA20_478672,EDNA20_478672_2,EDNA20_478677,EDNA20_478677_2,EDNA20_478685,EDNA20_478685_2,EDNA20_478689,EDNA20_478689_2,EDNA20_478706,EDNA20_478706_2,EDNA20_478732,EDNA20_478732_2,EDNA20_478745,EDNA20_478745_2,EDNA20_478748,EDNA20_478748_2,EDNA20_478752,EDNA20_478752_2,EDNA20_478847,EDNA20_478847_2,EDNA20_478851,EDNA20_478851_2,EDNA20_478867,EDNA20_478867_2,EDNA20_478887,EDNA20_478887_2,EDNA20_478895,EDNA20_478895_2,EDNA20_478907,EDNA20_478907_2,EDNA20_478929,EDNA20_478929_2,EDNA20_478933,EDNA20_478933_2,EDNA20_478941,EDNA20_478941_2,EDNA20_478949,EDNA20_478949_2,EDNA20_478954,EDNA20_478954_2,EDNA20_478959,EDNA20_478959_2,EDNA20_478964,EDNA20_478964_2,EDNA20_478969,EDNA20_478969_2,EDNA20_478973,EDNA20_478973_2,EDNA20_478977,EDNA20_478977_2,EDNA20_478981,EDNA20_478981_2,EDNA20_478985,EDNA20_478985_2,EDNA20_478989,EDNA20_478989_2,EDNA20_478993,EDNA20_478993_2,EDNA20_478997,EDNA20_478997_2
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1.25,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,0,31.17816092,0,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblyraja radiata,0,0,0,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.070175439,0,0.994318182,0,0,0,0,7310,0,2670,34.41011236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,0,0,2.982954545,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61111111,0,0,32743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2.982954545,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4744,0,0,0,25323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74645,0,10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,11.06321839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0,0,31793,22.96875,0,0,0,0,0,1.029411765,0,2.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0
Clupea harengus,0,0,0,0,0,5,8886,261.4942529,4436,12.92613636,0,5,0,13.15028902,0,0,608,25.85227273,0,1.988636364,0,0,0,177.0467836,0,0,0,14.08045977,0,95.57692308,0,0,0,0,0,1.206896552,0,8,0,1.25,0,0,338,0,0,1.09375,0,0,0,0.972222222,0,19.55882353,4820,38.88888889,4342,133,131,0,0,0,0,4.242424242,237,57.16666667,94,287.65625,0,0,0,0,0,24.27745665,0,15.26162791,7,32.18390805,1149,1.988636364,94,40,0,32,0,2.916666667,0,4.915730337,0,3.034682081,20,0,0,0,0,30,0,0.951086957,1249,0,0,0,0,0,0,0,0,0,0,0
Enchelyopus cimbrius,0,0,0,0,0,0,0,0,0,0,0,3,22531,1.011560694,0,0,0,0,0,0,0,0,14422,1.023391813,860,0,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30973,0,14792,0,0,0,0,0,0,0,0,0,0,0,0,0,14193,0,0,0,0,0,0,0,11111,3.052325581,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyptocephalus cynoglossus,0,0,0,0,0,0,0,0,0,0,5056,8,0,3.034682081,0,0,12224,0,0,0,959,3.017241379,11061,7.16374269,0,16.90340909,20313,375.1436782,11413,49.80769231,3065,1.43442623,0,6.882022472,0,0,11152,55,0,6.25,1604,0,0,0,0,2.1875,0,0.972222222,0,0.972222222,0,1.029411765,0,5.833333333,0,0,0,0,0,0,0,2.121212121,2326,3.5,0,0,0,1.01744186,0,0,0,0,0,7.122093023,0,3.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicolenus dactylopterus,0,1,0,6.960227273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7976,535.6944444,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.888888889,0,0,9543,35.40462428,0,167.0454545,0,18.10344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
